1777824298.3877354; j; keydown
1777824298.4570093; j; keyup
1777824298.484049; Key.ctrl_l; keydown
1777824298.4843073; Key.alt_gr; keydown
1777824298.5995185; ę; keydown
1777824298.6680405; Key.ctrl_l; keyup
1777824298.6683402; Key.alt_gr; keyup
1777824298.6750748; e; keyup
1777824298.727484; Key.space; keydown
1777824298.8267503; Key.space; keyup
1777824298.8632898; p; keydown
1777824298.9492683; r; keydown
1777824298.9661834; p; keyup
1777824299.0271347; r; keyup
1777824299.0463371; o; keydown
1777824299.128736; o; keyup
1777824299.2151544; j; keydown
1777824299.2695303; j; keyup
1777824299.2837038; e; keydown
1777824299.3827903; e; keyup
1777824299.397667; k; keydown
1777824299.4704435; k; keyup
1777824299.4714541; t; keydown
1777824299.5532336; t; keyup
1777824299.5747533; Key.ctrl_l; keydown
1777824299.5763614; Key.alt_gr; keydown
1777824299.6238563; ó; keydown
1777824299.6875148; Key.ctrl_l; keyup
1777824299.6882973; Key.alt_gr; keyup
1777824299.6892974; o; keyup
1777824299.727299; w; keydown
1777824299.8199465; w; keyup
1777824299.902701; .; keydown
1777824299.971417; .; keyup
1777824300.1464162; Key.enter; keydown
1777824300.2192426; Key.enter; keyup
